Court Rules Caging Hens Is Not Cruelty	 Animal Rights Lawsuit Judge Finds `Racism' Concerning 7.5 Million Hens 
Seven Killed As Plane Crashes Into Chilean Volcano	 Soviet Cessna Plane Crashes into Andes Volcano, Killing All Seven Occupants 
Seven Killed As Plane Crashes Into Chilean Volcano	 Rescue Plane Crashes into Volcano; Seven Injured 
Seven Killed As Plane Crashes Into Chilean Volcano	 Two Die In Crash Of Volcano At Volcano 
Seven Killed As Plane Crashes Into Chilean Volcano	 Seven Dead After Four Deaths in Volcano Crash 
Du Pont Blasts Dole And Kemp In Bid To Keep His Candidacy Alive	 du Pont, Haig Had Condemned Pneumonia 
Du Pont Blasts Dole And Kemp In Bid To Keep His Candidacy Alive	 du Pont's New Hampshire  
Du Pont Blasts Dole And Kemp In Bid To Keep His Candidacy Alive	 Du Pont Demonstrated To Fence Jimmy Swaggart To Top Dole 
Government to Stage Joint Military-Civil Defense Exercises	 Army Protesters Urge People To Protest Sandinista Army Maneuvers 
Government to Stage Joint Military-Civil Defense Exercises	 Sandinista troops Ready to Routine Deployment in Masaya 
Government to Stage Joint Military-Civil Defense Exercises	 Sandinistas Close Streets To Civil Defense 
White House Sees Progress in Verifying Test-Ban Treaties	 Reagan Makes New Statement On Test Ban Treaty Problems 
Jet Collides With Two Geese; Returns to Airport	 Airport Geese Accident More Than Accident 
National Guard To Drop Aid To Isolated Navajo Families	 Hundreds Follow Wild Life In Navajo Reservation As Service Helps 
National Guard To Drop Aid To Isolated Navajo Families	 Navajo Rally To Save Food From Snow 
Police Believe Man Demonstrated PCP Cooking on Network TV	 On-TV Probing Man for Selling PCP on `West 57th' News Program 
Police Believe Man Demonstrated PCP Cooking on Network TV	 Teen-agers Arrested For Allegedly Having PCP When Network TV News Program Explodes 
Police Believe Man Demonstrated PCP Cooking on Network TV	 Man Sues Police for Allegedly Selling PCP on News Program 
Brazilian Airline Workers on Strike	 Brazilian Workers Strike At Varig, Vasp 
Brazilian Airline Workers on Strike	 Strike At Varig And Vasp Ended In Unfortunate Breakthrough 
